@relation canaAcucarSP

@attribute Cidade {'Adamantina - SP','Adolfo - SP','Aguaí - SP','Águas de Santa Bárbara - SP','Agudos - SP','Alambari - SP','Altair - SP','Altinópolis - SP','Alto Alegre - SP','Alumínio - SP','Álvares Florence - SP','Americana - SP','Américo Brasiliense - SP','Américo de Campos - SP','Amparo - SP','Analândia - SP','Andradina - SP','Angatuba - SP','Anhembi - SP','Anhumas - SP','Aparecida dOeste - SP','Apiaí - SP','Araçariguama - SP','Araçatuba - SP','Araçoiaba da Serra - SP','Aramina - SP','Arandu - SP','Arapeí - SP','Araraquara - SP','Araras - SP','Arco-Íris - SP','Arealva - SP','Areias - SP','Areiópolis - SP','Ariranha - SP','Artur Nogueira - SP','Assis - SP','Atibaia - SP','Auriflama - SP','Avaí - SP','Avanhandava - SP','Avaré - SP','Bady Bassitt - SP','Balbinos - SP','Bálsamo - SP','Bananal - SP','Barbosa - SP','Bariri - SP','Barra Bonita - SP','Barretos - SP','Barrinha - SP','Bastos - SP','Batatais - SP','Bauru - SP','Bebedouro - SP','Bento de Abreu - SP','Bernardino de Campos - SP','Bilac - SP','Birigui - SP','Boa Esperança do Sul - SP','Bocaina - SP','Bofete - SP','Boituva - SP','Borá - SP','Boracéia - SP','Borborema - SP','Borebi - SP','Botucatu - SP','Bragança Paulista - SP','Braúna - SP','Brejo Alegre - SP','Brodowski - SP','Brotas - SP','Buritama - SP','Buritizal - SP','Cabrália Paulista - SP','Cabreúva - SP','Caçapava - SP','Caconde - SP','Cafelândia - SP','Caiabu - SP','Caiuá - SP','Cajobi - SP','Cajuru - SP','Campina do Monte Alegre - SP','Campinas - SP','Campos Novos Paulista - SP','Cândido Mota - SP','Cândido Rodrigues - SP','Canitar - SP','Capela do Alto - SP','Capivari - SP','Cardoso - SP','Casa Branca - SP','Cássia dos Coqueiros - SP','Castilho - SP','Catanduva - SP','Catiguá - SP','Cedral - SP','Cerqueira César - SP','Cerquilho - SP','Cesário Lange - SP','Charqueada - SP','Chavantes - SP','Clementina - SP','Colina - SP','Colômbia - SP','Conchal - SP','Conchas - SP','Cordeirópolis - SP','Coroados - SP','Coronel Macedo - SP','Corumbataí - SP','Cosmópolis - SP','Cosmorama - SP','Cravinhos - SP','Cristais Paulista - SP','Cruzália - SP','Cruzeiro - SP','Descalvado - SP','Divinolândia - SP','Dobrada - SP','Dois Córregos - SP','Dourado - SP','Dracena - SP','Duartina - SP','Dumont - SP','Echaporã - SP','Elias Fausto - SP','Elisiário - SP','Embaúba - SP','Emilianópolis - SP','Engenheiro Coelho - SP','Espírito Santo do Pinhal - SP','Espírito Santo do Turvo - SP','Estiva Gerbi - SP','Estrela do Norte - SP','Estrela dOeste - SP','Euclides da Cunha Paulista - SP','Fernando Prestes - SP','Fernandópolis - SP','Fernão - SP','Flora Rica - SP','Floreal - SP','Flórida Paulista - SP','Florínia - SP','Franca - SP','Gabriel Monteiro - SP','Gastão Vidigal - SP','Gavião Peixoto - SP','General Salgado - SP','Getulina - SP','Glicério - SP','Guaiçara - SP','Guaimbê - SP','Guaíra - SP','Guapiaçu - SP','Guará - SP','Guaraçaí - SP','Guaraci - SP','Guarani dOeste - SP','Guarantã - SP','Guararapes - SP','Guareí - SP','Guariba - SP','Guatapará - SP','Guzolândia - SP','Herculândia - SP','Holambra - SP','Hortolândia - SP','Iacanga - SP','Iacri - SP','Iaras - SP','Ibaté - SP','Ibirá - SP','Ibirarema - SP','Ibitinga - SP','Ibiúna - SP','Icém - SP','Iepê - SP','Igaraçu do Tietê - SP','Igarapava - SP','Ilha Solteira - SP','Indaiatuba - SP','Indiana - SP','Indiaporã - SP','Inúbia Paulista - SP','Ipaussu - SP','Iperó - SP','Ipeúna - SP','Ipiguá - SP','Ipuã - SP','Iracemápolis - SP','Irapuã - SP','Irapuru - SP','Itaberá - SP','Itaí - SP','Itajobi - SP','Itaju - SP','Itapetininga - SP','Itapeva - SP','Itapira - SP','Itápolis - SP','Itaporanga - SP','Itapuí - SP','Itapura - SP','Itatiba - SP','Itatinga - SP','Itirapina - SP','Itirapuã - SP','Itobi - SP','Itu - SP','Itupeva - SP','Ituverava - SP','Jaborandi - SP','Jaboticabal - SP','Jaci - SP','Jaguariúna - SP','Jardinópolis - SP','Jarinu - SP','Jaú - SP','Jeriquara - SP','Joanópolis - SP','João Ramalho - SP','José Bonifácio - SP','Júlio Mesquita - SP','Jumirim - SP','Jundiaí - SP','Junqueirópolis - SP','Laranjal Paulista - SP','Lavínia - SP','Leme - SP','Lençóis Paulista - SP','Limeira - SP','Lindóia - SP','Lins - SP','Lourdes - SP','Lucélia - SP','Lucianópolis - SP','Luís Antônio - SP','Luiziânia - SP','Lutécia - SP','Macatuba - SP','Macaubal - SP','Macedônia - SP','Magda - SP','Mairinque - SP','Manduri - SP','Marabá Paulista - SP','Maracaí - SP','Marapoama - SP','Mariápolis - SP','Marília - SP','Martinópolis - SP','Matão - SP','Mendonça - SP','Meridiano - SP','Mesópolis - SP','Miguelópolis - SP','Mineiros do Tietê - SP','Mira Estrela - SP','Mirandópolis - SP','Mirante do Paranapanema - SP','Mirassol - SP','Mirassolândia - SP','Mococa - SP','Mogi Guaçu - SP','Moji Mirim - SP','Mombuca - SP','Monções - SP','Monte Alegre do Sul - SP','Monte Alto - SP','Monte Aprazível - SP','Monte Azul Paulista - SP','Monte Castelo - SP','Monte Mor - SP','Morro Agudo - SP','Motuca - SP','Murutinga do Sul - SP','Nantes - SP','Narandiba - SP','Natividade da Serra - SP','Nazaré Paulista - SP','Neves Paulista - SP','Nhandeara - SP','Nipoã - SP','Nova Aliança - SP','Nova Canaã Paulista - SP','Nova Castilho - SP','Nova Europa - SP','Nova Granada - SP','Nova Guataporanga - SP','Nova Independência - SP','Nova Luzitânia - SP','Nova Odessa - SP','Novais - SP','Novo Horizonte - SP','Nuporanga - SP','Ocauçu - SP','Óleo - SP','Olímpia - SP','Onda Verde - SP','Oriente - SP','Orindiúva - SP','Orlândia - SP','Oscar Bressane - SP','Osvaldo Cruz - SP','Ourinhos - SP','Ouro Verde - SP','Ouroeste - SP','Pacaembu - SP','Palestina - SP','Palmares Paulista - SP','Palmital - SP','Paraguaçu Paulista - SP','Paraibuna - SP','Paraíso - SP','Paranapanema - SP','Paranapuã - SP','Parapuã - SP','Pardinho - SP','Pariquera-Açu - SP','Parisi - SP','Patrocínio Paulista - SP','Paulicéia - SP','Paulínia - SP','Paulistânia - SP','Paulo de Faria - SP','Pederneiras - SP','Pedra Bela - SP','Pedranópolis - SP','Pedregulho - SP','Pedreira - SP','Pedrinhas Paulista - SP','Penápolis - SP','Pereira Barreto - SP','Pereiras - SP','Piacatu - SP','Piedade - SP','Pindamonhangaba - SP','Pindorama - SP','Piquerobi - SP','Piracaia - SP','Piracicaba - SP','Piraju - SP','Pirajuí - SP','Pirangi - SP','Pirapozinho - SP','Pirassununga - SP','Piratininga - SP','Pitangueiras - SP','Planalto - SP','Platina - SP','Poloni - SP','Pompéia - SP','Pongaí - SP','Pontal - SP','Pontalinda - SP','Pontes Gestal - SP','Populina - SP','Porangaba - SP','Porto Feliz - SP','Porto Ferreira - SP','Potirendaba - SP','Pracinha - SP','Pradópolis - SP','Pratânia - SP','Presidente Alves - SP','Presidente Bernardes - SP','Presidente Epitácio - SP','Presidente Prudente - SP','Presidente Venceslau - SP','Promissão - SP','Quadra - SP','Quatá - SP','Queiroz - SP','Queluz - SP','Quintana - SP','Rafard - SP','Rancharia - SP','Regente Feijó - SP','Reginópolis - SP','Restinga - SP','Ribeira - SP','Ribeirão Bonito - SP','Ribeirão Corrente - SP','Ribeirão do Sul - SP','Ribeirão dos Índios - SP','Ribeirão Preto - SP','Rifaina - SP','Rincão - SP','Rinópolis - SP','Rio Claro - SP','Rio das Pedras - SP','Riolândia - SP','Riversul - SP','Rosana - SP','Rubiácea - SP','Sabino - SP','Sagres - SP','Sales - SP','Sales Oliveira - SP','Salmourão - SP','Saltinho - SP','Salto - SP','Salto de Pirapora - SP','Salto Grande - SP','Sandovalina - SP','Santa Adélia - SP','Santa Albertina - SP','Santa Bárbara dOeste - SP','Santa Cruz da Conceição - SP','Santa Cruz da Esperança - SP','Santa Cruz das Palmeiras - SP','Santa Cruz do Rio Pardo - SP','Santa Ernestina - SP','Santa Gertrudes - SP','Santa Lúcia - SP','Santa Maria da Serra - SP','Santa Mercedes - SP','Santa Rita do Passa Quatro - SP','Santa Rosa de Viterbo - SP','Santa Salete - SP','Santana da Ponte Pensa - SP','Santo Anastácio - SP','Santo Antônio da Alegria - SP','Santo Antônio de Posse - SP','Santo Antônio do Aracanguá - SP','Santo Expedito - SP','Santópolis do Aguapeí - SP','São Carlos - SP','São João da Boa Vista - SP','São João das Duas Pontes - SP','São João de Iracema - SP','São Joaquim da Barra - SP','São José da Bela Vista - SP','São José do Barreiro - SP','São José do Rio Pardo - SP','São José do Rio Preto - SP','São José dos Campos - SP','São Luís do Paraitinga - SP','São Manuel - SP','São Pedro - SP','São Pedro do Turvo - SP','São Roque - SP','São Sebastião da Grama - SP','São Simão - SP','Sarutaiá - SP','Sebastianópolis do Sul - SP','Serra Azul - SP','Serra Negra - SP','Serrana - SP','Sertãozinho - SP','Severínia - SP','Silveiras - SP','Socorro - SP','Sorocaba - SP','Sud Mennucci - SP','Sumaré - SP','Suzanápolis - SP','Tabapuã - SP','Tabatinga - SP','Taciba - SP','Taguaí - SP','Taiaçu - SP','Taiúva - SP','Tambaú - SP','Tanabi - SP','Tapiraí - SP','Tapiratiba - SP','Taquaral - SP','Taquaritinga - SP','Taquarituba - SP','Taquarivaí - SP','Tarabai - SP','Tarumã - SP','Tatuí - SP','Tejupá - SP','Teodoro Sampaio - SP','Terra Roxa - SP','Tietê - SP','Timburi - SP','Torrinha - SP','Trabiju - SP','Tupã - SP','Tupi Paulista - SP','Turiúba - SP','Turmalina - SP','Ubarana - SP','Ubirajara - SP','Uchoa - SP','União Paulista - SP','Urânia - SP','Uru - SP','Urupês - SP','Valentim Gentil - SP','Valparaíso - SP','Vargem - SP','Vargem Grande do Sul - SP','Viradouro - SP','Vista Alegre do Alto - SP','Vitória Brasil - SP','Votorantim - SP','Votuporanga - SP','Zacarias - SP'}
@attribute 'Área plantada (Hectares)' numeric
@attribute 'Área colhida (Hectares)' numeric
@attribute 'Quantidade produzida (Toneladas)' numeric
@attribute 'Valor da produção (Mil Reais)' numeric
@attribute 'Rendimento médio da produção (Quilogramas por Hectare)' numeric
@attribute 'rendimento por hectare' numeric
@attribute 'arado subsolador' numeric
@attribute 'carregadeira de cana' numeric
@attribute 'conjunto de irrigação aotopropelido' numeric
@attribute terraceador numeric
@attribute engenho numeric
@attribute 'Total máquinas' numeric
@attribute upa-cana numeric
@attribute 'upa total' numeric

@data
'Adamantina - SP',13000,13000,1170000,35322,90000,90,13,8,6,8,2,37,342,1423
'Adolfo - SP',4954,4954,396320,11890,80000,80,8,0,0,2,0,10,21,306
'Aguaí - SP',10962,10962,976500,31639,89080,89.08,73,16,18,1,0,108,225,1342
'Águas de Santa Bárbara - SP',300,300,24600,738,82000,82,4,2,0,3,5,14,126,945
'Agudos - SP',12000,12000,960000,39360,80000,80,10,4,2,4,0,20,157,935
'Alambari - SP',400,400,30000,990,75000,75,6,0,0,1,0,7,94,391
'Altair - SP',11928,11928,894600,26838,75000,75,3,0,0,5,0,8,87,324
'Altinópolis - SP',12500,12500,937500,37500,75000,75,42,14,5,3,0,64,231,950
'Alto Alegre - SP',9500,9500,712500,23085,75000,75,9,4,0,8,0,21,548,1531
'Alumínio - SP',52,52,2600,73,50000,50,3,0,0,0,0,3,5,67
'Álvares Florence - SP',1300,1300,130000,3640,100000,100,20,1,2,3,0,26,206,1426
'Americana - SP',2500,2500,200000,6000,80000,80,1,0,0,0,0,1,12,74
'Américo Brasiliense - SP',9309,9309,930900,13964,100000,100,8,2,0,0,0,10,64,129
'Américo de Campos - SP',1870,1870,112300,2021,60053,60.053,8,32,0,3,1,44,130,871
'Amparo - SP',2000,2000,220000,7128,110000,110,33,5,4,12,13,67,77,2417
'Analândia - SP',2000,2000,170000,5100,85000,85,6,1,0,3,0,10,118,541
'Andradina - SP',29800,29800,2384000,77242,80000,80,41,19,3,18,4,85,250,1877
'Angatuba - SP',800,800,60000,1920,75000,75,22,0,9,5,1,37,357,3044
'Anhembi - SP',8000,8000,680000,22032,85000,85,20,4,1,2,1,28,83,847
'Anhumas - SP',3180,3180,222600,6812,70000,70,6,3,0,0,10,19,71,697
'Aparecida dOeste - SP',950,950,13300,419,14000,14,1,2,0,0,0,3,52,792
'Apiaí - SP',900,900,90000,2700,100000,100,2,0,3,0,1,6,42,2669
'Araçariguama - SP',84,84,5006,145,59595,59.595,0,0,0,0,0,0,1,30
'Araçatuba - SP',38740,38740,3874000,104598,100000,100,16,7,0,12,0,35,339,1584
'Araçoiaba da Serra - SP',450,450,40500,1134,90000,90,3,12,0,2,0,17,8,829
'Aramina - SP',10000,10000,1200000,34800,120000,120,31,35,20,4,0,90,187,372
'Arandu - SP',210,210,14700,441,70000,70,35,4,4,8,1,52,105,736
'Arapeí - SP',52,52,2600,130,50000,50,0,1,0,1,2,4,34,288
'Araraquara - SP',49000,49000,4410000,66150,90000,90,36,23,0,14,2,75,826,2602
'Araras - SP',26500,26500,2385000,69165,90000,90,2,76,12,7,0,97,436,1356
'Arco-Íris - SP',4000,3500,262500,9308,75000,75,2,7,0,2,0,11,62,582
'Arealva - SP',20000,20000,1600000,89600,80000,80,13,1,1,6,4,25,360,1673
'Areias - SP',30,30,1800,90,60000,60,2,9,0,0,0,11,67,672
'Areiópolis - SP',6300,6300,567000,18371,90000,90,2,0,0,2,0,4,125,193
'Ariranha - SP',9100,9100,728000,21840,80000,80,9,15,15,1,2,42,265,486
'Artur Nogueira - SP',2800,2800,252000,8165,90000,90,68,8,2,5,3,86,204,1708
'Assis - SP',12193,12193,914475,29263,75000,75,57,3,2,4,2,68,158,909
'Atibaia - SP',55,55,2750,96,50000,50,78,0,2,13,5,98,26,1902
'Auriflama - SP',1403,1403,113643,3714,81000,81,3,0,0,5,1,9,237,984
'Avaí - SP',1318,1318,82227,2697,62387,62.387,2,18,0,2,0,22,99,579
'Avanhandava - SP',18000,18000,1440000,46656,80000,80,12,4,0,4,0,20,235,534
'Avaré - SP',6000,6000,420000,12600,70000,70,76,10,9,24,3,122,223,1602
'Bady Bassitt - SP',1700,1700,136000,4080,80000,80,3,2,0,3,0,8,78,607
'Balbinos - SP',20,20,1400,57,70000,70,3,1,0,1,1,6,40,208
'Bálsamo - SP',7200,7200,720000,21600,100000,100,0,0,2,0,0,2,121,849
'Bananal - SP',30,30,1500,75,50000,50,1,2,4,0,13,20,114,883
'Barbosa - SP',4322,4322,345760,11203,80000,80,4,0,0,1,0,5,123,348
'Bariri - SP',22200,22200,1776000,31968,80000,80,39,10,19,4,1,73,602,1432
'Barra Bonita - SP',8500,8500,748000,13464,88000,88,26,156,1,3,0,186,251,325
'Barretos - SP',60900,60900,5481000,98658,90000,90,114,10,9,43,1,177,513,2033
'Barrinha - SP',10500,10500,945000,28917,90000,90,8,3,0,6,0,17,63,92
'Bastos - SP',1008,488,33184,1177,68000,68,9,0,0,2,0,11,86,617
'Batatais - SP',44000,44000,3740000,111265,85000,85,47,16,1,12,3,79,458,1287
'Bauru - SP',430,430,37883,1227,88100,88.1,15,3,1,2,2,23,214,1550
'Bebedouro - SP',29300,29300,2637000,47466,90000,90,51,3,16,0,1,71,610,2063
'Bento de Abreu - SP',16150,16150,1453500,40553,90000,90,14,8,5,13,0,40,83,219
'Bernardino de Campos - SP',6500,6500,520000,16640,80000,80,32,6,0,8,0,46,149,1043
'Bilac - SP',2232,2232,168728,4724,75594,75.594,17,10,2,7,0,36,164,854
'Birigui - SP',8633,8633,776970,22221,90000,90,42,0,4,17,3,66,192,1847
'Boa Esperança do Sul - SP',30000,30000,2400000,40800,80000,80,22,10,3,3,3,41,226,561
'Bocaina - SP',14748,14748,1327320,23892,90000,90,21,23,3,9,1,57,153,313
'Bofete - SP',150,150,6750,189,45000,45,23,1,7,3,3,37,107,1193
'Boituva - SP',6467,6467,700500,22416,108319,108.319,41,26,0,2,5,74,206,946
'Borá - SP',4686,4686,387807,11118,82758,82.758,4,0,0,1,0,5,60,102
'Boracéia - SP',7000,7000,630000,11340,90000,90,11,2,1,3,0,17,165,323
'Borborema - SP',20084,20084,1807560,54227,90000,90,45,3,4,8,1,61,410,1471
'Borebi - SP',6720,6720,537600,22042,80000,80,4,1,2,2,1,10,35,145
'Botucatu - SP',5000,5000,350000,11340,70000,70,36,2,7,11,1,57,254,2517
'Bragança Paulista - SP',120,120,6000,210,50000,50,50,51,4,4,8,117,45,23
'Braúna - SP',5600,5600,392000,12701,70000,70,6,3,0,5,0,14,111,596
'Brejo Alegre - SP',2550,2550,293250,8387,115000,115,6,3,4,4,1,18,53,320
'Brodowski - SP',14395,14395,1151560,34259,79997,79.997,19,1,0,1,1,22,268,937
'Brotas - SP',42480,42480,3823200,68818,90000,90,30,21,2,10,4,67,353,1373
'Buritama - SP',1000,1000,95600,2734,95600,95.6,17,1,2,6,1,27,116,1006
'Buritizal - SP',10728,10728,911880,26445,85000,85,5,1,0,1,0,7,201,574
'Cabrália Paulista - SP',500,500,35000,1050,70000,70,2,0,1,4,0,7,104,427
'Cabreúva - SP',700,700,49000,1715,70000,70,4,0,0,2,9,15,15,399
'Caçapava - SP',950,950,28500,1995,30000,30,17,18,3,49,1,88,99,568
'Caconde - SP',417,417,33360,1081,80000,80,18,1,0,4,17,40,109,4184
'Cafelândia - SP',3000,3000,270000,8748,90000,90,25,13,5,6,2,51,333,1189
'Caiabu - SP',5182,5182,339421,10183,65500,65.5,2,6,3,5,0,16,106,846
'Caiuá - SP',6304,6304,434976,12614,69000,69,3,0,0,2,0,5,305,2290
'Cajobi - SP',6518,6518,586620,17599,90000,90,6,3,0,0,0,9,188,651
'Cajuru - SP',23385,23385,1636950,48699,70000,70,17,16,3,2,3,41,474,1685
'Campina do Monte Alegre - SP',2300,2300,172500,5693,75000,75,8,1,3,0,1,13,33,673
'Campinas - SP',1018,1018,92000,2576,90373,90.373,45,9,9,12,1,76,59,1686
'Campos Novos Paulista - SP',1900,1900,171000,5540,90000,90,11,1,0,8,6,26,98,983
'Cândido Mota - SP',20822,20822,1705764,54584,81921,81.921,56,7,2,12,0,77,297,2571
'Cândido Rodrigues - SP',2200,2200,220000,7128,100000,100,6,2,5,0,0,13,89,646
'Canitar - SP',3600,3600,252000,7182,70000,70,8,5,0,2,0,15,52,107
'Capela do Alto - SP',850,850,85000,2720,100000,100,8,4,4,5,0,21,72,1028
'Capivari - SP',16889,16889,1248000,39936,73894,73.894,100,34,8,6,0,148,395,785
'Cardoso - SP',4500,4500,450000,13050,100000,100,11,0,2,0,0,13,211,1031
'Casa Branca - SP',20500,20500,2050000,66420,100000,100,50,0,32,8,3,93,288,1662
'Cássia dos Coqueiros - SP',300,300,21000,840,70000,70,14,5,1,0,2,22,108,1040
'Castilho - SP',15460,15460,1391400,40351,90000,90,5,1,2,5,1,14,201,1529
'Catanduva - SP',14000,14000,1260000,37800,90000,90,6,40,0,8,3,57,305,843
'Catiguá - SP',8500,8500,722500,21675,85000,85,15,25,2,11,0,53,132,224
'Cedral - SP',4350,4350,369750,11093,85000,85,13,0,1,2,2,18,233,1131
'Cerqueira César - SP',8700,8700,783000,23490,90000,90,2,6,0,3,1,12,296,1433
'Cerquilho - SP',5000,5000,475000,15675,95000,95,21,34,2,6,0,63,206,863
'Cesário Lange - SP',6000,6000,600000,19440,100000,100,33,13,5,2,1,54,250,1378
'Charqueada - SP',11150,11150,869700,29570,78000,78,33,13,5,2,1,54,250,1378
'Chavantes - SP',12500,12500,1000000,32400,80000,80,9,13,0,5,0,27,71,162
'Clementina - SP',5017,5017,423766,12120,84466,84.466,1,0,0,1,1,3,110,525
'Colina - SP',22000,22000,1760000,31680,80000,80,48,0,8,15,1,72,248,581
'Colômbia - SP',28490,28490,2336180,42051,82000,82,41,1,23,13,0,78,193,696
'Conchal - SP',2200,2200,176000,5104,80000,80,2,0,0,0,0,2,18,1044
'Conchas - SP',1400,1400,112000,3584,80000,80,13,0,1,3,0,17,318,3038
'Cordeirópolis - SP',6200,6200,372000,12053,60000,60,12,17,1,1,1,32,103,500
'Coroados - SP',8000,8000,626000,17904,78250,78.25,24,0,2,5,1,32,171,886
'Coronel Macedo - SP',1000,1000,100000,3000,100000,100,23,0,0,3,0,26,24,753
'Corumbataí - SP',3100,3100,248000,8432,80000,80,7,0,3,1,0,11,195,1204
'Cosmópolis - SP',5145,5145,425000,11900,82604,82.604,21,13,0,1,1,36,62,427
'Cosmorama - SP',5000,5000,400000,12960,80000,80,9,19,1,5,1,35,215,1490
'Cravinhos - SP',22778,22778,1890574,75623,83000,83,54,15,2,1,0,72,248,579
'Cristais Paulista - SP',1800,1800,234000,5616,130000,130,46,0,4,6,1,57,179,1402
'Cruzália - SP',890,890,113288,3625,127289,127.289,79,0,0,17,0,96,23,556
'Cruzeiro - SP',21,21,835,42,39761,39.761,1,1,1,0,2,5,87,1017
'Descalvado - SP',18000,18000,1530000,49572,85000,85,61,29,7,14,8,119,581,1665
'Divinolândia - SP',120,120,12000,360,100000,100,45,2,21,2,6,76,28,2572
'Dobrada - SP',9800,9800,918650,29764,93739,93.739,1,4,0,0,0,5,103,168
'Dois Córregos - SP',34862,34862,2788960,50201,80000,80,13,33,10,9,8,73,619,1597
