@relation forestfires-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_clustered

@attribute Instance_number numeric
@attribute X numeric
@attribute Y numeric
@attribute month {mar,oct,aug,sep,apr,jun,jul,feb,jan,dec,may,nov}
@attribute day {fri,tue,sat,sun,mon,wed,thu}
@attribute FFMC numeric
@attribute DMC numeric
@attribute DC numeric
@attribute ISI numeric
@attribute temp numeric
@attribute RH numeric
@attribute wind numeric
@attribute rain numeric
@attribute area numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,0.75,0.428571,mar,fri,0.870968,0.086492,0.101325,0.090909,0.192926,0.423529,0.7,0,0,cluster1
1,0.75,0.285714,oct,tue,0.927742,0.118194,0.775419,0.11943,0.508039,0.211765,0.055556,0,0,cluster0
2,0.75,0.285714,oct,sat,0.927742,0.146795,0.796294,0.11943,0.398714,0.211765,0.1,0,0,cluster1
3,0.875,0.571429,mar,fri,0.941935,0.110958,0.081623,0.160428,0.196141,0.964706,0.4,0.03125,0,cluster1
4,0.875,0.571429,mar,sun,0.910968,0.172984,0.11059,0.171123,0.29582,0.988235,0.155556,0,0,cluster1
5,0.875,0.571429,aug,sun,0.949677,0.290145,0.563035,0.262032,0.643087,0.164706,0.555556,0,0,cluster2
6,0.875,0.571429,aug,mon,0.949677,0.30255,0.571948,0.151515,0.70418,0.141176,0.3,0,0,cluster2
7,0.875,0.571429,aug,mon,0.939355,0.497243,0.703999,0.190731,0.186495,0.835294,0.2,0,0,cluster2
8,0.875,0.571429,sep,tue,0.932903,0.442453,0.802979,0.124777,0.350482,0.564706,0.555556,0,0,cluster0
9,0.75,0.428571,sep,sat,0.952258,0.299449,0.810015,0.12656,0.662379,0.294118,0.4,0,0,cluster0
10,0.75,0.428571,sep,sat,0.952258,0.299449,0.810015,0.12656,0.501608,0.423529,0.755556,0,0,cluster0
11,0.75,0.428571,sep,sat,0.956129,0.248449,0.826903,0.402852,0.549839,0.270588,0.4,0,0,cluster0
12,0.625,0.428571,aug,fri,0.578065,0.240179,0.770963,0.01426,0.475884,0.670588,0.7,0,0,cluster2
13,0.625,0.428571,sep,mon,0.931613,0.432116,0.795825,0.124777,0.614148,0.317647,0.2,0,0,cluster0
14,0.625,0.428571,sep,wed,0.957419,0.455548,0.811188,0.163993,0.778135,0.070588,0.455556,0,0,cluster0
15,0.625,0.428571,sep,fri,0.962581,0.482771,0.827958,0.247772,0.665595,0.341176,0.555556,0,0,cluster0
16,0.5,0.428571,mar,sat,0.941935,0.119573,0.085493,0.139037,0.414791,0.141176,0.555556,0,0,cluster1
17,0.875,0.428571,oct,mon,0.854194,0.109235,0.769673,0.053476,0.466238,0.376471,0.5,0,0,cluster0
18,0.625,0.285714,mar,wed,0.909677,0.09235,0.073766,0.112299,0.440514,0.235294,0.4,0,0,cluster1
19,0.625,0.285714,apr,sat,0.872258,0.090627,0.104609,0.090909,0.228296,0.341176,0.455556,0,0,cluster1
20,0.625,0.285714,sep,tue,0.932903,0.442453,0.802979,0.124777,0.517685,0.294118,0.255556,0,0,cluster0
21,0.5,0.285714,sep,mon,0.943226,0.266713,0.840155,0.163993,0.543408,0.270588,0.255556,0,0,cluster0
22,0.75,0.285714,jun,sun,0.975484,0.32805,0.225284,1,0.604502,0.341176,0.455556,0,0,cluster2
23,0.75,0.285714,aug,sat,0.922581,0.37836,0.620969,0.110517,0.55627,0.329412,0.6,0,0,cluster2
24,0.75,0.285714,aug,sat,0.965161,0.476568,0.687581,0.361854,0.691318,0.2,0.6,0,0,cluster2
25,0.75,0.285714,aug,sun,0.938065,0.486906,0.696024,0.188948,0.453376,0.529412,0.555556,0,0,cluster2
26,0.75,0.285714,sep,fri,0.950968,0.402481,0.774129,0.217469,0.540193,0.223529,0.6,0,0,cluster0
27,0.75,0.285714,sep,mon,0.931613,0.432116,0.795825,0.124777,0.553055,0.388235,0.1,0,0,cluster0
28,0.625,0.142857,sep,sat,0.963871,0.497243,0.836754,0.144385,0.900322,0.105882,0.255556,0,0,cluster0
29,0.625,0.142857,sep,sun,0.965161,0.510682,0.845198,0.144385,0.662379,0.282353,0.355556,0,0,cluster0
30,0.625,0.142857,sep,fri,0.975484,0.289456,0.802627,0.283422,0.745981,0.105882,0.355556,0,0,cluster0
31,0.625,0.142857,sep,mon,0.901935,0.312543,0.823267,0.12656,0.289389,0.741176,0.8,0,0,cluster0
32,0.625,0.142857,sep,fri,0.901935,0.236389,0.819632,0.103387,0.59164,0.258824,0.155556,0,0,cluster0
33,0.625,0.142857,sep,sun,0.941935,0.25672,0.833118,0.139037,0.498392,0.282353,0.355556,0,0,cluster0
34,0.625,0.142857,sep,mon,0.943226,0.266713,0.840155,0.163993,0.610932,0.2,0.255556,0,0,cluster0
35,0.625,0.142857,sep,tue,0.923871,0.274294,0.847074,0.112299,0.514469,0.552941,0.455556,0,0,cluster0
36,0.625,0.142857,oct,tue,0.927742,0.118194,0.775419,0.11943,0.62701,0.105882,0.455556,0,0,cluster0
37,0.75,0.285714,oct,fri,0.92,0.139214,0.791251,0.15508,0.292605,0.529412,0.555556,0,0,cluster0
38,0.75,0.142857,oct,sat,0.927742,0.146795,0.796294,0.11943,0.501608,0.141176,0.4,0,0,cluster1
39,0.375,0.285714,mar,tue,0.895484,0.084769,0.070013,0.067736,0.382637,0.329412,0.255556,0,0,cluster1
40,0.375,0.285714,jul,tue,0.784516,0.205031,0.420781,0.026738,0.678457,0.258824,0.3,0,0,cluster0
41,0.375,0.285714,aug,sat,0.922581,0.330117,0.722763,0.158645,0.5209,0.317647,0.7,0,0,cluster2
42,0.375,0.285714,aug,tue,0.981935,0.3694,0.749619,0.30303,0.463023,0.458824,0.555556,0,0,cluster2
43,0.375,0.285714,sep,sat,0.952258,0.299449,0.810015,0.12656,0.559486,0.388235,0.255556,0,0,cluster0
44,0.375,0.285714,sep,wed,0.92129,0.281875,0.853524,0.110517,0.344051,0.694118,0.5,0,0,cluster0
45,0.5,0.571429,sep,wed,0.975484,0.289456,0.802627,0.283422,0.762058,0.105882,0.4,0,0,cluster0
46,0.5,0.571429,sep,mon,0.931613,0.432116,0.795825,0.124777,0.401929,0.647059,0.355556,0,0,cluster0
47,0.625,0.571429,jul,mon,0.974194,0.210889,0.510144,0.196078,0.66881,0.247059,0.3,0,0,cluster2
48,0.375,0.285714,mar,mon,0.883871,0.078567,0.066612,0.073084,0.308682,0.235294,0.155556,0,0,cluster1
49,0.375,0.285714,mar,mon,0.889032,0.176085,0.112466,0.089127,0.282958,0.364706,0.6,0,0,cluster1
50,0.375,0.285714,sep,thu,0.957419,0.468298,0.819163,0.163993,0.598071,0.023529,0.1,0,0,cluster0
