@relation forestfires-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_clustered

@attribute Instance_number numeric
@attribute X numeric
@attribute Y numeric
@attribute month {mar,oct,aug,sep,apr,jun,jul,feb,jan,dec,may,nov}
@attribute day {fri,tue,sat,sun,mon,wed,thu}
@attribute FFMC numeric
@attribute DMC numeric
@attribute DC numeric
@attribute ISI numeric
@attribute temp numeric
@attribute RH numeric
@attribute wind numeric
@attribute rain numeric
@attribute area numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5}

@data
0,0.75,0.428571,mar,fri,0.870968,0.086492,0.101325,0.090909,0.192926,0.423529,0.7,0,0,cluster3
1,0.75,0.285714,oct,tue,0.927742,0.118194,0.775419,0.11943,0.508039,0.211765,0.055556,0,0,cluster2
2,0.75,0.285714,oct,sat,0.927742,0.146795,0.796294,0.11943,0.398714,0.211765,0.1,0,0,cluster1
3,0.875,0.571429,mar,fri,0.941935,0.110958,0.081623,0.160428,0.196141,0.964706,0.4,0.03125,0,cluster3
4,0.875,0.571429,mar,sun,0.910968,0.172984,0.11059,0.171123,0.29582,0.988235,0.155556,0,0,cluster1
5,0.875,0.571429,aug,sun,0.949677,0.290145,0.563035,0.262032,0.643087,0.164706,0.555556,0,0,cluster4
6,0.875,0.571429,aug,mon,0.949677,0.30255,0.571948,0.151515,0.70418,0.141176,0.3,0,0,cluster4
7,0.875,0.571429,aug,mon,0.939355,0.497243,0.703999,0.190731,0.186495,0.835294,0.2,0,0,cluster5
8,0.875,0.571429,sep,tue,0.932903,0.442453,0.802979,0.124777,0.350482,0.564706,0.555556,0,0,cluster2
9,0.75,0.428571,sep,sat,0.952258,0.299449,0.810015,0.12656,0.662379,0.294118,0.4,0,0,cluster2
10,0.75,0.428571,sep,sat,0.952258,0.299449,0.810015,0.12656,0.501608,0.423529,0.755556,0,0,cluster2
11,0.75,0.428571,sep,sat,0.956129,0.248449,0.826903,0.402852,0.549839,0.270588,0.4,0,0,cluster2
12,0.625,0.428571,aug,fri,0.578065,0.240179,0.770963,0.01426,0.475884,0.670588,0.7,0,0,cluster3
13,0.625,0.428571,sep,mon,0.931613,0.432116,0.795825,0.124777,0.614148,0.317647,0.2,0,0,cluster5
14,0.625,0.428571,sep,wed,0.957419,0.455548,0.811188,0.163993,0.778135,0.070588,0.455556,0,0,cluster2
15,0.625,0.428571,sep,fri,0.962581,0.482771,0.827958,0.247772,0.665595,0.341176,0.555556,0,0,cluster2
16,0.5,0.428571,mar,sat,0.941935,0.119573,0.085493,0.139037,0.414791,0.141176,0.555556,0,0,cluster1
17,0.875,0.428571,oct,mon,0.854194,0.109235,0.769673,0.053476,0.466238,0.376471,0.5,0,0,cluster5
18,0.625,0.285714,mar,wed,0.909677,0.09235,0.073766,0.112299,0.440514,0.235294,0.4,0,0,cluster1
19,0.625,0.285714,apr,sat,0.872258,0.090627,0.104609,0.090909,0.228296,0.341176,0.455556,0,0,cluster1
20,0.625,0.285714,sep,tue,0.932903,0.442453,0.802979,0.124777,0.517685,0.294118,0.255556,0,0,cluster2
21,0.5,0.285714,sep,mon,0.943226,0.266713,0.840155,0.163993,0.543408,0.270588,0.255556,0,0,cluster5
22,0.75,0.285714,jun,sun,0.975484,0.32805,0.225284,1,0.604502,0.341176,0.455556,0,0,cluster3
23,0.75,0.285714,aug,sat,0.922581,0.37836,0.620969,0.110517,0.55627,0.329412,0.6,0,0,cluster4
24,0.75,0.285714,aug,sat,0.965161,0.476568,0.687581,0.361854,0.691318,0.2,0.6,0,0,cluster4
25,0.75,0.285714,aug,sun,0.938065,0.486906,0.696024,0.188948,0.453376,0.529412,0.555556,0,0,cluster4
26,0.75,0.285714,sep,fri,0.950968,0.402481,0.774129,0.217469,0.540193,0.223529,0.6,0,0,cluster2
27,0.75,0.285714,sep,mon,0.931613,0.432116,0.795825,0.124777,0.553055,0.388235,0.1,0,0,cluster5
28,0.625,0.142857,sep,sat,0.963871,0.497243,0.836754,0.144385,0.900322,0.105882,0.255556,0,0,cluster0
29,0.625,0.142857,sep,sun,0.965161,0.510682,0.845198,0.144385,0.662379,0.282353,0.355556,0,0,cluster2
30,0.625,0.142857,sep,fri,0.975484,0.289456,0.802627,0.283422,0.745981,0.105882,0.355556,0,0,cluster2
31,0.625,0.142857,sep,mon,0.901935,0.312543,0.823267,0.12656,0.289389,0.741176,0.8,0,0,cluster5
32,0.625,0.142857,sep,fri,0.901935,0.236389,0.819632,0.103387,0.59164,0.258824,0.155556,0,0,cluster2
33,0.625,0.142857,sep,sun,0.941935,0.25672,0.833118,0.139037,0.498392,0.282353,0.355556,0,0,cluster2
34,0.625,0.142857,sep,mon,0.943226,0.266713,0.840155,0.163993,0.610932,0.2,0.255556,0,0,cluster5
35,0.625,0.142857,sep,tue,0.923871,0.274294,0.847074,0.112299,0.514469,0.552941,0.455556,0,0,cluster2
36,0.625,0.142857,oct,tue,0.927742,0.118194,0.775419,0.11943,0.62701,0.105882,0.455556,0,0,cluster2
37,0.75,0.285714,oct,fri,0.92,0.139214,0.791251,0.15508,0.292605,0.529412,0.555556,0,0,cluster3
38,0.75,0.142857,oct,sat,0.927742,0.146795,0.796294,0.11943,0.501608,0.141176,0.4,0,0,cluster1
39,0.375,0.285714,mar,tue,0.895484,0.084769,0.070013,0.067736,0.382637,0.329412,0.255556,0,0,cluster1
40,0.375,0.285714,jul,tue,0.784516,0.205031,0.420781,0.026738,0.678457,0.258824,0.3,0,0,cluster2
41,0.375,0.285714,aug,sat,0.922581,0.330117,0.722763,0.158645,0.5209,0.317647,0.7,0,0,cluster4
42,0.375,0.285714,aug,tue,0.981935,0.3694,0.749619,0.30303,0.463023,0.458824,0.555556,0,0,cluster4
43,0.375,0.285714,sep,sat,0.952258,0.299449,0.810015,0.12656,0.559486,0.388235,0.255556,0,0,cluster5
44,0.375,0.285714,sep,wed,0.92129,0.281875,0.853524,0.110517,0.344051,0.694118,0.5,0,0,cluster5
45,0.5,0.571429,sep,wed,0.975484,0.289456,0.802627,0.283422,0.762058,0.105882,0.4,0,0,cluster2
46,0.5,0.571429,sep,mon,0.931613,0.432116,0.795825,0.124777,0.401929,0.647059,0.355556,0,0,cluster5
47,0.625,0.571429,jul,mon,0.974194,0.210889,0.510144,0.196078,0.66881,0.247059,0.3,0,0,cluster5
48,0.375,0.285714,mar,mon,0.883871,0.078567,0.066612,0.073084,0.308682,0.235294,0.155556,0,0,cluster1
49,0.375,0.285714,mar,mon,0.889032,0.176085,0.112466,0.089127,0.282958,0.364706,0.6,0,0,cluster1
50,0.375,0.285714,sep,thu,0.957419,0.468298,0.819163,0.163993,0.598071,0.023529,0.1,0,0,cluster0
51,0.375,0.142857,aug,sun,0.922581,0.339421,0.730972,0.112299,0.620579,0.223529,0.2,0,0,cluster4
52,0.375,0.142857,aug,wed,0.947097,0.379394,0.757828,0.171123,0.585209,0.317647,0.5,0,0,cluster4
53,0.375,0.142857,aug,wed,0.947097,0.379394,0.757828,0.171123,0.585209,0.317647,0.5,0,0,cluster4
54,0.375,0.142857,aug,thu,0.941935,0.390076,0.766272,0.112299,0.495177,0.352941,0.355556,0,0,cluster0
55,0.375,0.142857,sep,thu,0.957419,0.468298,0.819163,0.163993,0.819936,0.105882,0.2,0,0,cluster0
56,0.375,0.142857,sep,tue,0.923871,0.274294,0.847074,0.112299,0.501608,0.564706,0.5,0,0,cluster2
57,0.375,0.142857,oct,sun,0.953548,0.156444,0.802041,0.156863,0.37299,0.411765,0.255556,0,0,cluster4
58,0.125,0,feb,mon,0.842581,0.028256,0.030609,0.037433,0.376206,0.294118,0.555556,0,0,cluster5
59,0.125,0,feb,fri,0.876129,0.041695,0.041163,0.094474,0.324759,0.423529,0.055556,0,0,cluster3
60,0.125,0,mar,sun,0.910968,0.172984,0.11059,0.171123,0.299035,0.282353,0.6,0,0,cluster1
61,0.125,0,mar,sun,0.910968,0.172984,0.11059,0.171123,0.106109,0.517647,0.655556,0,0,cluster1
62,0.125,0,aug,thu,0.95871,0.255686,0.537938,0.137255,0.533762,0.235294,0.5,0,0,cluster0
63,0.125,0,aug,sun,0.922581,0.339421,0.730972,0.112299,0.598071,0.211765,0.255556,0,0,cluster4
64,0.125,0,aug,mon,0.934194,0.351826,0.739885,0.103387,0.672026,0.188235,0.3,0,0,cluster4
65,0.125,0,aug,thu,0.941935,0.390076,0.766272,0.112299,0.527331,0.341176,0.455556,0,0,cluster0
66,0.125,0,sep,fri,0.950968,0.402481,0.774129,0.217469,0.66881,0.258824,0.455556,0,0,cluster0
67,0.125,0,sep,fri,0.950968,0.402481,0.774129,0.217469,0.559486,0.211765,0.555556,0,0,cluster0
68,0.125,0,sep,fri,0.950968,0.402481,0.774129,0.217469,0.559486,0.211765,0.655556,0,0,cluster0
69,0.375,0.428571,mar,fri,0.941935,0.110958,0.081623,0.160428,0.482315,0.129412,0.455556,0,0,cluster1
70,0.375,0.428571,mar,fri,0.935484,0.162646,0.10543,0.222816,0.437299,0.141176,0.8,0,0,cluster1
71,0.375,0.428571,sep,fri,0.975484,0.289456,0.802627,0.283422,0.498392,0.258824,0.355556,0,0,cluster5
72,0.5,0.285714,mar,fri,0.941935,0.110958,0.081623,0.160428,0.430868,0.117647,0.655556,0,0,cluster1
73,0.5,0.285714,aug,tue,0.904516,0.50379,0.711387,0.160428,0.485531,0.329412,0.455556,0,0,cluster4
74,0.5,0.285714,sep,fri,0.962581,0.482771,0.827958,0.247772,0.81672,0.176471,0.1,0,0,cluster0
75,1,1,feb,thu,0.845161,0.019642,0.02193,0.137255,0.144695,0.752941,0.3,0,0,cluster3
76,1,1,feb,fri,0.876129,0.041695,0.041163,0.094474,0.434084,0.329412,0.3,0,0,cluster3
77,0,0.142857,mar,mon,0.889032,0.176085,0.112466,0.089127,0.196141,0.670588,0.3,0,0,cluster1
78,0,0,aug,fri,0.92129,0.368367,0.612056,0.222816,0.401929,0.6,0.255556,0,0,cluster4
79,0,0,aug,tue,0.932903,0.413853,0.649349,0.124777,0.623794,0.047059,0.7,0,0,cluster4
80,0,0,aug,sun,0.938065,0.486906,0.696024,0.188948,0.55627,0.282353,0.655556,0,0,cluster4
81,0,0,aug,sun,0.922581,0.339421,0.730972,0.112299,0.504823,0.341176,0.2,0,0,cluster4
82,0,0,aug,tue,0.981935,0.3694,0.749619,0.30303,0.527331,0.423529,0.455556,0,0,cluster4
83,0,0,aug,wed,0.947097,0.379394,0.757828,0.171123,0.463023,0.376471,0.055556,0,0,cluster4
84,0,0,aug,thu,0.941935,0.390076,0.766272,0.112299,0.578778,0.352941,0.355556,0,0,cluster0
85,0,0,sep,thu,0.957419,0.468298,0.819163,0.163993,0.620579,0,0.055556,0,0,cluster0
86,0,0,sep,thu,0.957419,0.468298,0.819163,0.163993,0.745981,0.141176,0.2,0,0,cluster0
87,0,0,sep,thu,0.957419,0.468298,0.819163,0.163993,0.649518,0.223529,0.2,0,0,cluster0
88,0,0,sep,sun,0.965161,0.510682,0.845198,0.144385,0.742765,0.247059,0.355556,0,0,cluster0
89,0.625,0.428571,mar,sat,0.941935,0.119573,0.085493,0.139037,0.488746,0.117647,0.5,0,0,cluster1
90,0.625,0.428571,aug,sat,0.922581,0.330117,0.722763,0.158645,0.401929,0.517647,0.6,0,0,cluster4
91,0.875,0.571429,mar,fri,0.941935,0.119573,0.085493,0.139037,0.488746,0.105882,0.555556,0,0,cluster3
92,0.875,0.571429,aug,sun,0.949677,0.290145,0.563035,0.262032,0.598071,0.2,0.655556,0,0,cluster4
93,0.875,0.571429,aug,sun,0.938065,0.486906,0.696024,0.188948,0.514469,0.329412,0.5,0,0,cluster4
94,0.875,0.571429,aug,mon,0.934194,0.351826,0.739885,0.103387,0.681672,0.082353,0.255556,0,0,cluster4
95,0.375,0.285714,sep,sun,0.916129,0.30634,0.816817,0.085561,0.501608,0.576471,0.1,0,0,cluster5
96,0.25,0.285714,feb,sat,0.84129,0.023777,0.026152,0.046346,0.337621,0.388235,0.155556,0,0,cluster1
97,0.25,0.285714,mar,sat,0.649032,0.00448,0.008913,0.012478,0.488746,0.105882,0.555556,0,0,cluster1
98,0.25,0.285714,aug,sun,0.938065,0.486906,0.696024,0.188948,0.302251,0.847059,0.455556,0,0,cluster4
99,0.25,0.285714,aug,sun,0.938065,0.486906,0.696024,0.188948,0.565916,0.282353,0.555556,0,0,cluster4
100,0.25,0.285714,aug,sun,0.938065,0.486906,0.696024,0.188948,0.565916,0.282353,0.555556,0,0,cluster4
101,0.25,0.285714,aug,tue,0.904516,0.50379,0.711387,0.160428,0.392283,0.6,0.555556,0,0,cluster4
102,0.125,0.285714,aug,tue,0.981935,0.3694,0.749619,0.30303,0.575563,0.294118,0.4,0,0,cluster4
103,0.125,0.285714,sep,sat,0.952258,0.413508,0.781635,0.153298,0.70418,0.164706,0.455556,0,0,cluster0
104,0.125,0.285714,jan,sat,0.818065,0.008959,0.001642,0.051693,0.099678,0.741176,0.3,0,0,cluster1
105,0.375,0.428571,mar,fri,0.867097,0.063405,0.057934,0.049911,0.337621,0.435294,0.655556,0,0,cluster1
106,0.375,0.428571,mar,thu,0.938065,0.101999,0.07787,0.13369,0.514469,0.164706,0.3,0,0,cluster1
107,0.375,0.428571,aug,sun,0.922581,0.339421,0.730972,0.112299,0.617363,0.211765,0.3,0,0,cluster4
108,0.375,0.428571,sep,sat,0.952258,0.299449,0.810015,0.12656,0.581994,0.352941,0.3,0,0,cluster5
109,0.375,0.428571,sep,mon,0.901935,0.312543,0.823267,0.12656,0.488746,0.482353,0.555556,0,0,cluster5
110,0.375,0.285714,mar,fri,0.867097,0.063405,0.057934,0.049911,0.369775,0.329412,0.6,0,0,cluster1
111,0.25,0.285714,mar,fri,0.941935,0.110958,0.081623,0.160428,0.533762,0.035294,0.455556,0,0,cluster1
112,0.25,0.285714,sep,sun,0.916129,0.30634,0.816817,0.085561,0.662379,0.282353,0.355556,0,0,cluster0
113,0.25,0.285714,sep,mon,0.943226,0.266713,0.840155,0.163993,0.536977,0.235294,0.255556,0,0,cluster5
114,0.25,0.285714,mar,tue,0.895484,0.084769,0.070013,0.067736,0.437299,0.141176,0.8,0,0,cluster1
115,0.25,0.428571,mar,tue,0.895484,0.084769,0.070013,0.067736,0.427653,0.141176,0.655556,0,0,cluster1
116,0.25,0.285714,mar,sat,0.941935,0.119573,0.085493,0.139037,0.302251,0.176471,0.655556,0,0,cluster1
117,0.25,0.285714,mar,sat,0.941935,0.119573,0.085493,0.139037,0.418006,0.141176,0.5,0,0,cluster1
118,0.25,0.285714,mar,mon,0.92129,0.133012,0.092295,0.110517,0.270096,0.176471,0.4,0,0,cluster1
119,0.25,0.285714,aug,thu,0.95871,0.255686,0.537938,0.137255,0.559486,0.247059,0.3,0,0,cluster0
120,0.25,0.285714,aug,mon,0.939355,0.497243,0.703999,0.190731,0.26045,0.694118,0.2,0,0,cluster5
121,0.25,0.285714,aug,mon,0.939355,0.497243,0.703999,0.190731,0.4791,0.329412,0.555556,0,0,cluster4
122,0.25,0.285714,sep,sun,0.950968,0.423846,0.789023,0.151515,0.652733,0.317647,0.555556,0,0,cluster0
123,0.25,0.285714,sep,tue,0.847742,0.249139,0.778703,0.057041,0.504823,0.352941,0.3,0,0,cluster2
124,0.25,0.285714,sep,fri,0.975484,0.289456,0.802627,0.283422,0.565916,0.411765,0.555556,0,0,cluster0
125,0.25,0.285714,oct,sun,0.953548,0.156444,0.802041,0.156863,0.59164,0.105882,0.555556,0,0,cluster4
126,0.25,0.428571,mar,mon,0.889032,0.176085,0.112466,0.089127,0.21865,0.4,0.2,0,0,cluster1
127,0.25,0.428571,sep,fri,0.965161,0.510682,0.845198,0.144385,0.482315,0.329412,0.3,0,0,cluster0
128,0.25,0.428571,oct,wed,0.938065,0.126809,0.780931,0.092692,0.440514,0.364706,0.355556,0,0,cluster5
129,0.125,0.428571,oct,sun,0.953548,0.156444,0.802041,0.156863,0.424437,0.235294,0.055556,0,0,cluster4
130,0.375,0.571429,feb,sat,0.63871,0.070296,0.092999,0.01426,0.424437,0.294118,0.255556,0,0,cluster1
131,0.375,0.571429,mar,mon,0.883871,0.078567,0.066612,0.073084,0.379421,0.282353,0.3,0,0,cluster1
132,0.375,0.571429,mar,sun,0.910968,0.172984,0.11059,0.171123,0.270096,0.364706,0.5,0,0,cluster1
133,0.375,0.571429,sep,thu,0.967742,0.274983,0.7943,0.319073,0.495177,0.317647,0.3,0,0,cluster0
134,0.25,0.428571,mar,tue,0.895484,0.084769,0.070013,0.067736,0.40836,0.270588,0.255556,0,0,cluster1
135,0.25,0.428571,aug,sat,0.965161,0.476568,0.687581,0.361854,0.495177,0.435294,0.6,0,0,cluster4
136,0.25,0.571429,sep,sun,0.950968,0.423846,0.789023,0.151515,0.482315,0.505882,0.1,0,0,cluster5
137,0.25,0.571429,sep,mon,0.931613,0.432116,0.795825,0.124777,0.430868,0.6,0.3,0,0,cluster5
