@relation VendaCarros-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0_clustered

@attribute Instance_number numeric
@attribute DataNotaFiscal {04/10/2012,01/01/2012,02/02/2012,03/03/2012,04/04/2012,04/05/2012,04/06/2012,04/07/2012,04/08/2012,04/09/2012,04/11/2012,04/12/2012,02/01/2013,02/02/2013,02/03/2013,02/04/2013,02/05/2013,02/06/2013,02/07/2013,02/08/2013,02/09/2013,02/10/2013,02/11/2013,02/12/2013,01/02/2012,01/03/2012,01/04/2012,01/05/2012,01/06/2012,01/07/2012,01/08/2012,01/09/2012,01/10/2012,01/11/2012,01/12/2012,09/01/2013,10/01/2013,11/02/2013,12/03/2013,13/03/2013,14/03/2013,15/04/2013,16/04/2013,17/05/2013,18/05/2013,19/05/2013,20/06/2013,21/07/2013,22/07/2013,23/09/2013,24/10/2013,25/11/2013,26/11/2013,27/11/2013,04/10/2014,01/01/2014,02/02/2014,03/03/2014,04/04/2014,04/05/2014,04/06/2014,04/07/2014,04/08/2014,04/09/2014,04/11/2014,04/12/2014,02/01/2015,02/02/2015,02/03/2015,02/04/2015,02/05/2015,02/06/2015,02/07/2015,02/08/2015,02/09/2015,02/10/2015,02/11/2015,02/12/2015,01/02/2014,01/03/2014,01/04/2014,01/05/2014,01/06/2014,01/07/2014,01/08/2014,01/09/2014,01/10/2014,01/11/2014,01/12/2014,09/01/2015,10/01/2015,11/02/2015,12/03/2015,13/03/2015,14/03/2015,15/04/2015,16/04/2015,17/05/2015,18/05/2015,19/05/2015,20/06/2015,21/07/2015,22/07/2015,23/09/2015,24/10/2015,25/11/2015,26/11/2015,27/11/2015}
@attribute Fabricante {'Rolls Royce','Aston Martin',Jaguar,Bentley,TVR,MGB,Triumph}
@attribute Estado {'São Paulo','Minas Gerais','Rio de Janeiro','Espírito Santo',Paraná,Bahia}
@attribute ValorVenda numeric
@attribute ValorCusto numeric
@attribute TotalDesconto numeric
@attribute CustoEntrega numeric
@attribute CustoMaoDeObra numeric
@attribute NomeCliente {'Aldo Motors','Honest John','Bright Orange',WheelsRUs,CunShut,'Les Arnaqueurs','Rocky Riding','Voitures Diplomatiques S.A.','Crippen & Co','Costa Del Speed',Karz,'Olde Englande','Impressive Wheels','Smooth Riders','Luxury Rentals','Premium Motor Vehicles','Chateau Moi','Vive la Vitesse!','Carosse Des Papes','Three Country Cars',Jungfrau,'Ambassador Cars','Embassy Motors','Style ‘N Ride','Sporty Types Corp',BritWheels,'Tweedy Wheels','Union Jack Sports Cars','British Luxury Automobile Corp','Buckingham Palace Car Services','Classy Car Sales'}
@attribute Modelo {Camargue,DBS,'Prata Ghost',DB7,DB9,DB4,Vantage,Vanquish,Rapide,Zagato,Wraith,'Prata Shadow','Prata Seraph',Phantom,XK,XJ6,XJ12,Continental,Arnage,Azure,'Turbo R',Tuscan,Cerbera,GT,TR4,TR5,TR7}
@attribute Cor {Vermelho,Azul,Verde,Prata,Púrpura,Preto}
@attribute Ano numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,04/10/2012,'Rolls Royce','São Paulo',0.456693,0.292605,0.09901,0.452055,0.546691,'Aldo Motors',Camargue,Vermelho,2012,cluster1
1,01/01/2012,'Aston Martin','São Paulo',0.614173,0.453376,0,0.863014,0.365367,'Honest John',DBS,Azul,2012,cluster1
2,02/02/2012,'Rolls Royce','São Paulo',0.412598,0.453376,0.148515,0.589041,0.365367,'Bright Orange','Prata Ghost',Verde,2012,cluster1
3,03/03/2012,'Rolls Royce','São Paulo',0.418898,0.536977,0,0.589041,0.365367,'Honest John','Prata Ghost',Azul,2012,cluster1
4,04/04/2012,'Rolls Royce','São Paulo',0.437795,0.369775,0,0.863014,0.365367,WheelsRUs,Camargue,Prata,2012,cluster2
5,04/05/2012,'Rolls Royce','São Paulo',0.503937,0.77492,0,0.589041,0.365367,CunShut,Camargue,Verde,2012,cluster1
6,04/06/2012,'Aston Martin','São Paulo',0.551181,0.33119,0.148515,0.315068,0.365367,'Bright Orange',DBS,Púrpura,2012,cluster1
7,04/07/2012,'Aston Martin','Minas Gerais',0.645669,0.122186,0.49505,0.589041,0.365367,'Les Arnaqueurs',DB7,Vermelho,2012,cluster0
8,04/08/2012,'Aston Martin','São Paulo',0.677165,0.07074,0,0.589041,0.546691,'Aldo Motors',DB9,Azul,2012,cluster1
9,04/09/2012,'Aston Martin','São Paulo',0.330709,0.4591,0,0.589041,0.546691,'Aldo Motors',DB9,Prata,2012,cluster2
10,04/09/2012,'Aston Martin','São Paulo',0.289764,0.607717,0,0.589041,0.546691,'Aldo Motors',DB4,Azul,2012,cluster1
11,04/11/2012,'Aston Martin','Minas Gerais',0.456693,0.77492,0,0.863014,0.546691,'Les Arnaqueurs',Vantage,Prata,2012,cluster2
12,04/11/2012,'Aston Martin','São Paulo',0.834646,0.77492,0,0.863014,0.546691,WheelsRUs,Vanquish,Azul,2012,cluster1
13,04/12/2012,'Aston Martin','São Paulo',0.456693,0.967846,0.990099,0.863014,0.3835,'Bright Orange',Rapide,Preto,2012,cluster1
14,04/12/2012,'Aston Martin','São Paulo',0.982677,0.77492,0,0.863014,0.3835,CunShut,Zagato,Verde,2012,cluster1
15,02/01/2013,'Rolls Royce','Minas Gerais',0.677165,0.369775,0,1,0.3835,'Les Arnaqueurs','Prata Ghost',Prata,2013,cluster2
16,02/02/2013,'Rolls Royce','São Paulo',0.982677,0.369775,0,1,0.459655,WheelsRUs,Wraith,Prata,2013,cluster2
17,02/03/2013,'Rolls Royce','São Paulo',0.551181,0.4591,0,0.583562,0.761559,CunShut,'Prata Ghost',Verde,2013,cluster1
18,02/04/2013,'Rolls Royce','São Paulo',0.677165,0.369775,0,0.315068,0.459655,'Bright Orange',Camargue,Azul,2013,cluster1
19,02/05/2013,'Rolls Royce','São Paulo',0.982677,0.4591,0.188119,1,0.157752,'Honest John','Prata Shadow',Vermelho,2013,cluster2
20,02/06/2013,'Rolls Royce','São Paulo',0.551181,0.369775,0,1,0.728921,'Aldo Motors','Prata Seraph',Vermelho,2013,cluster2
