Product Name,Segment,Country,State,Category,Sub-Category,Sales,Discount,Profit,Cluster
Bush Somerset Collection Bookcase,Consumer,United States,Kentucky,Furniture,Bookcases,0.602276,-1.0,1.195326,0
Self-Adhesive Address Labels for Typewriters by Universal,Corporate,United States,California,Office Supplies,Labels,-0.54983,-1.0,-0.065329,3
Eldon Fold 'N Roll Cart System,Consumer,United States,Florida,Office Supplies,Storage,-0.368979,0.0,-0.224681,1
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Consumer,United States,California,Furniture,Furnishings,-0.044261,-1.0,0.199454,3
Newell 322,Consumer,United States,California,Office Supplies,Art,-0.846999,-1.0,-0.244965,3
DXL Angle-View Binders with Locking Rings by Samsill,Consumer,United States,California,Office Supplies,Binders,-0.449402,0.0,-0.105041,1
Belkin F5C206VTEL 6 Outlet Surge,Consumer,United States,California,Office Supplies,Appliances,0.294555,-1.0,0.929218,0
Konftel 250 Conference phone - Charcoal black,Consumer,United States,California,Technology,Phones,1.032331,0.0,2.136728,0
Xerox 1967,Consumer,United States,North Carolina,Office Supplies,Paper,-0.523447,0.0,-0.11743,1
Storex DuraTech Recycled Plastic Frosted Binders,Home Office,United States,Texas,Office Supplies,Binders,-1.268848,0.749016,-0.461998,1
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Consumer,United States,Wisconsin,Office Supplies,Storage,0.927999,-1.0,0.168646,0
Fellowes Super Stor/Drawer,Consumer,United States,Utah,Office Supplies,Storage,0.007425,-1.0,0.048071,3
Newell 341,Consumer,United States,California,Office Supplies,Art,-0.778358,-1.0,-0.225932,3
Cisco SPA 501G IP Phone,Consumer,United States,California,Technology,Phones,0.527624,0.0,0.265991,2
"Wilson Jones Hanging View Binder, White, 1""",Consumer,United States,California,Office Supplies,Binders,-0.362379,0.0,-0.046657,2
Newell 318,Corporate,United States,Nebraska,Office Supplies,Art,-0.427996,-1.0,-0.131447,3
"Acco Six-Outlet Power Strip, 4' Cord Length",Corporate,United States,Nebraska,Office Supplies,Appliances,0.041121,-1.0,0.254342,3
"Global Deluxe Stacking Chair, Gray",Consumer,United States,Pennsylvania,Furniture,Chairs,0.108251,0.255488,-0.356067,2
Wilson Jones Active Use Binders,Consumer,United States,California,Office Supplies,Binders,-0.64696,0.0,-0.162075,1
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Consumer,United States,California,Technology,Accessories,0.202221,-1.0,0.112765,3
Avery Recycled Flexi-View Covers for Binding Systems,Consumer,United States,Pennsylvania,Office Supplies,Binders,-0.728738,0.701566,-0.585582,1
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Consumer,United States,Pennsylvania,Furniture,Furnishings,0.324422,0.0,0.248441,2
Poly String Tie Envelopes,Consumer,United States,Pennsylvania,Office Supplies,Envelopes,-1.174427,0.0,-0.276877,1
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Consumer,United States,Pennsylvania,Office Supplies,Art,0.183311,0.0,0.037878,2
"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",Consumer,United States,Pennsylvania,Office Supplies,Binders,-0.872176,0.701566,-0.534405,1
