Product Name,Segment,Country,City,State,Category,Sub-Category,Sales,Discount,Profit
Bush Somerset Collection Bookcase,Consumer,United States,Henderson,Kentucky,Furniture,Bookcases,0.05151,-0.756643,0.056593
Self-Adhesive Address Labels for Typewriters by Universal,Corporate,United States,Los Angeles,California,Office Supplies,Labels,-0.345368,-0.756643,-0.093002
Eldon Fold 'N Roll Cart System,Consumer,United States,Fort Lauderdale,Florida,Office Supplies,Storage,-0.332935,0.212153,-0.111593
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Consumer,United States,Los Angeles,California,Furniture,Furnishings,-0.290427,-0.756643,-0.061847
Newell 322,Consumer,United States,Los Angeles,California,Office Supplies,Art,-0.357145,-0.756643,-0.113944
DXL Angle-View Binders with Locking Rings by Samsill,Consumer,United States,Los Angeles,California,Office Supplies,Binders,-0.339136,0.212153,-0.09765
Belkin F5C206VTEL 6 Outlet Surge,Consumer,United States,Los Angeles,California,Office Supplies,Appliances,-0.18446,-0.756643,0.024816
Xerox 1967,Consumer,United States,Concord,North Carolina,Office Supplies,Paper,-0.343872,0.212153,-0.099099
Fellowes Super Stor/Drawer,Consumer,United States,West Jordan,Utah,Office Supplies,Storage,-0.279772,-0.756643,-0.079688
Newell 341,Consumer,United States,San Francisco,California,Office Supplies,Art,-0.355092,-0.756643,-0.111738
Cisco SPA 501G IP Phone,Consumer,United States,San Francisco,California,Technology,Phones,-0.02628,0.212153,-0.053985
"Wilson Jones Hanging View Binder, White, 1""",Consumer,United States,San Francisco,California,Office Supplies,Binders,-0.332371,0.212153,-0.090813
Newell 318,Corporate,United States,Fremont,Nebraska,Office Supplies,Art,-0.337602,-0.756643,-0.100736
"Acco Six-Outlet Power Strip, 4' Cord Length",Corporate,United States,Fremont,Nebraska,Office Supplies,Appliances,-0.272006,-0.756643,-0.055362
"Global Deluxe Stacking Chair, Gray",Consumer,United States,Philadelphia,Pennsylvania,Furniture,Chairs,-0.254304,0.696552,-0.126688
Wilson Jones Active Use Binders,Consumer,United States,Los Angeles,California,Office Supplies,Binders,-0.350137,0.212153,-0.10431
Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,Consumer,United States,Los Angeles,California,Technology,Accessories,-0.2235,-0.756643,-0.072072
"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Consumer,United States,Philadelphia,Pennsylvania,Furniture,Furnishings,-0.169537,0.212153,-0.05606
Poly String Tie Envelopes,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Envelopes,-0.363589,0.212153,-0.117633
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Art,-0.230345,0.212153,-0.080887
Lumber Crayons,Consumer,United States,Philadelphia,Pennsylvania,Office Supplies,Art,-0.343539,0.212153,-0.107198
Easy-staple paper,Home Office,United States,Houston,Texas,Office Supplies,Paper,-0.321536,0.212153,-0.079873
"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",Home Office,United States,Houston,Texas,Office Supplies,Envelopes,-0.186982,0.212153,0.02885
"Global Fabric Manager's Chair, Dark Gray",Home Office,United States,Houston,Texas,Furniture,Chairs,-0.028562,0.696552,-0.186998
Plantronics HL10 Handset Lifter,Home Office,United States,Houston,Texas,Technology,Phones,0.226744,0.212153,0.055921
Panasonic Kx-TS550,Corporate,United States,Naperville,Illinois,Technology,Phones,-0.132683,0.212153,-0.051657
"Eldon Base for stackable storage shelf, platinum",Corporate,United States,Los Angeles,California,Office Supplies,Storage,-0.243862,-0.756643,-0.105712
"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",Corporate,United States,Melbourne,Florida,Office Supplies,Storage,-0.215403,0.212153,-0.081517
"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",Corporate,United States,Eagan,Minnesota,Technology,Accessories,-0.295048,-0.756643,-0.037932
Wilson Jones Leather-Like Binders with DublLock Round Rings,Corporate,United States,Eagan,Minnesota,Office Supplies,Binders,-0.340811,-0.756643,-0.087303
"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",Consumer,United States,Westland,Michigan,Office Supplies,Storage,-0.028719,-0.756643,-0.086141
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Consumer,United States,Dover,Delaware,Technology,Accessories,-0.29662,-0.756643,-0.101204
"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Consumer,United States,Dover,Delaware,Technology,Phones,-0.333847,-0.756643,-0.096278
"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Consumer,United States,New Albany,Indiana,Office Supplies,Binders,-0.3075,-0.756643,-0.04565
Avery 485,Consumer,United States,New Albany,Indiana,Office Supplies,Labels,-0.248194,-0.756643,0.028507
Longer-Life Soft White Bulbs,Consumer,United States,New Albany,Indiana,Furniture,Furnishings,-0.358943,-0.756643,-0.109713
"Global Leather Task Chair, Black",Consumer,United States,New Albany,Indiana,Furniture,Chairs,-0.22443,-0.756643,-0.049344
Advantus Push Pins,Corporate,United States,New York City,New York,Office Supplies,Fasteners,-0.344341,-0.756643,-0.095626
Home/Office Personal File Carts,Consumer,United States,Troy,New York,Office Supplies,Storage,-0.034174,-0.756643,0.100249
Xerox 232,Consumer,United States,Troy,New York,Office Supplies,Paper,-0.316838,-0.756643,-0.055944
Novimex Turbo Task Chair,Consumer,United States,Troy,New York,Furniture,Chairs,0.143694,-0.272245,-0.092034
"Array Parchment Paper, Assorted Colors",Consumer,United States,Troy,New York,Office Supplies,Paper,-0.345464,-0.756643,-0.092501
Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Consumer,United States,Troy,New York,Technology,Accessories,-0.320689,-0.756643,-0.108248
Plastic Binding Combs,Consumer,United States,Troy,New York,Office Supplies,Binders,-0.291037,0.212153,-0.052487
Prang Dustless Chalk Sticks,Consumer,United States,Troy,New York,Office Supplies,Art,-0.366131,-0.756643,-0.11875
