Product Name,Segment,Country,State,Category,Sub-Category,Sales,Discount,Profit
Bush Somerset Collection Bookcase,Consumer,United States,Kentucky,Furniture,Bookcases,0.602276,-1.0,1.195326
Self-Adhesive Address Labels for Typewriters by Universal,Corporate,United States,California,Office Supplies,Labels,-0.54983,-1.0,-0.065329
Eldon Fold 'N Roll Cart System,Consumer,United States,Florida,Office Supplies,Storage,-0.368979,0.0,-0.224681
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",Consumer,United States,California,Furniture,Furnishings,-0.044261,-1.0,0.199454
Newell 322,Consumer,United States,California,Office Supplies,Art,-0.846999,-1.0,-0.244965
DXL Angle-View Binders with Locking Rings by Samsill,Consumer,United States,California,Office Supplies,Binders,-0.449402,0.0,-0.105041
Belkin F5C206VTEL 6 Outlet Surge,Consumer,United States,California,Office Supplies,Appliances,0.294555,-1.0,0.929218
Konftel 250 Conference phone - Charcoal black,Consumer,United States,California,Technology,Phones,1.032331,0.0,2.136728
Xerox 1967,Consumer,United States,North Carolina,Office Supplies,Paper,-0.523447,0.0,-0.11743
Storex DuraTech Recycled Plastic Frosted Binders,Home Office,United States,Texas,Office Supplies,Binders,-1.268848,0.749016,-0.461998
"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Consumer,United States,Wisconsin,Office Supplies,Storage,0.927999,-1.0,0.168646
Fellowes Super Stor/Drawer,Consumer,United States,Utah,Office Supplies,Storage,0.007425,-1.0,0.048071
Newell 341,Consumer,United States,California,Office Supplies,Art,-0.778358,-1.0,-0.225932
Cisco SPA 501G IP Phone,Consumer,United States,California,Technology,Phones,0.527624,0.0,0.265991
"Wilson Jones Hanging View Binder, White, 1""",Consumer,United States,California,Office Supplies,Binders,-0.362379,0.0,-0.046657
Newell 318,Corporate,United States,Nebraska,Office Supplies,Art,-0.427996,-1.0,-0.131447
